City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Hamilton,US,39.1834,-84.5333,85.95,62,72,4.0,broken clouds
285,Porsa,IN,26.67,78.3747,95.45,43,68,5.03,broken clouds
286,Maragogi,BR,-9.0122,-35.2225,77.99,80,50,14.72,scattered clouds
287,Tvoroyri,FO,61.5556,-6.8111,52.27,98,100,22.97,light rain
288,Viedma,AR,-40.8135,-62.9967,46.2,55,68,14.65,broken clouds
289,Kedrovyy,RU,56.1667,91.8167,52.21,94,98,4.63,light rain
290,Alyangula,AU,-13.8483,136.4192,65.44,74,7,8.37,clear sky
291,Batagay,RU,67.6333,134.6333,51.89,80,88,3.98,overcast clouds
292,Barmer,IN,25.75,71.3833,90.68,58,95,9.4,overcast clouds
293,Hokitika,NZ,-42.7167,170.9667,44.42,77,100,4.21,overcast clouds
294,Bubaque,GW,11.2833,-15.8333,80.85,81,15,12.88,light rain
295,Owosso,US,42.9978,-84.1766,76.21,80,100,4.61,overcast clouds
296,Mayumba,GA,-3.432,10.6554,73.92,81,86,7.47,overcast clouds
297,Leningradskiy,RU,69.3833,178.4167,34.83,89,100,10.42,snow
298,Spearfish,US,44.4908,-103.8594,83.86,50,0,5.75,clear sky
299,Shache,CN,38.4167,77.2406,84.88,18,99,2.21,overcast clouds
300,Dharchula,IN,29.85,80.5333,75.34,90,79,2.8,broken clouds
301,Alice Springs,AU,-23.7,133.8833,38.75,35,5,5.75,clear sky
302,Cape Canaveral,US,28.4058,-80.6048,89.02,76,89,9.82,overcast clouds
303,Jos,NG,9.9167,8.9,69.75,84,100,6.49,light rain
304,Nanakuli,US,21.3906,-158.1547,77.99,79,43,13.87,scattered clouds
305,Montepuez,MZ,-13.1256,38.9997,73.22,46,73,10.36,broken clouds
306,Steamboat Springs,US,40.485,-106.8317,71.35,72,75,5.75,broken clouds
307,Lexington,US,37.9887,-84.4777,82.94,58,63,1.01,broken clouds
308,Makakilo City,US,21.3469,-158.0858,76.57,72,39,16.67,scattered clouds
309,San Andres,CO,12.5847,-81.7006,82.63,75,7,14.18,clear sky
310,Gidam,IN,18.9833,81.4,75.11,96,100,3.47,overcast clouds
311,Mecca,SA,21.4267,39.8261,94.3,22,67,12.12,broken clouds
312,Pacific Grove,US,36.6177,-121.9166,59.43,97,1,5.99,clear sky
313,Nioro,GM,13.35,-15.75,91.0,54,87,8.21,overcast clouds
314,Garmsar,IR,35.2182,52.3409,95.09,13,0,0.45,clear sky
315,Esperance,AU,-33.8667,121.9,57.31,70,100,3.65,overcast clouds
316,Vila Do Maio,CV,15.1333,-23.2167,76.6,80,13,5.06,few clouds
317,Kazerun,IR,29.6195,51.6541,91.35,20,3,6.6,clear sky
318,Nome,US,64.5011,-165.4064,43.16,87,0,3.96,clear sky
319,Kahului,US,20.8947,-156.47,77.85,89,70,14.0,broken clouds
320,Matagami,CA,49.7502,-77.6328,72.45,56,100,6.58,overcast clouds
321,Hovd,MN,48.0056,91.6419,67.39,42,42,3.13,scattered clouds
322,Kavaratti,IN,10.5669,72.642,81.75,85,100,15.46,overcast clouds
323,Uvelskiy,RU,54.4446,61.3574,66.38,81,5,10.92,clear sky
324,Sabang,ID,5.8933,95.3214,82.78,78,79,17.18,broken clouds
325,Beibei,CN,29.8256,106.4339,82.47,87,82,1.5,broken clouds
326,Sarangani,PH,5.4033,125.4636,80.26,81,100,4.9,overcast clouds
327,Bambanglipuro,ID,-7.95,110.2833,76.42,88,61,7.23,broken clouds
328,Abu Dhabi,AE,24.4667,54.3667,104.11,49,100,9.22,overcast clouds
329,Miyako,JP,39.6367,141.9525,70.63,97,100,3.22,overcast clouds
330,Waddan,LY,29.1614,16.139,93.16,14,0,11.45,clear sky
331,Sijunjung,ID,-0.6876,100.9537,72.91,90,76,2.15,broken clouds
332,Praia Da Vitoria,PT,38.7333,-27.0667,78.76,75,6,13.51,clear sky
333,Kavieng,PG,-2.5744,150.7967,80.62,81,5,10.69,light rain
334,Tommot,RU,58.9564,126.2925,67.48,86,46,2.53,scattered clouds
335,Punta Alta,AR,-38.8759,-62.0736,47.41,59,96,15.79,overcast clouds
336,Puerto Cabezas,NI,14.0351,-83.3888,87.76,74,75,9.22,broken clouds
337,Adrar,MR,20.5022,-10.0711,110.52,6,29,23.26,scattered clouds
338,Rondonopolis,BR,-16.4708,-54.6356,96.76,21,94,7.9,overcast clouds
339,Thio,NC,-21.6167,166.2167,64.36,73,0,13.04,clear sky
340,Kefamenanu,ID,-9.4467,124.4781,63.07,90,70,4.21,broken clouds
341,Chontalpa,MX,17.7,-93.5167,81.48,77,87,3.96,overcast clouds
342,Porangatu,BR,-13.4408,-49.1486,95.23,19,21,4.18,few clouds
343,Berbera,SO,10.4396,45.0143,95.23,37,96,26.11,overcast clouds
