City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
506,Kedgwick,CA,77.25,overcast clouds,47.6446,-67.3434,A la Belle Etoile
507,Bahia De Caraquez,EC,75.31,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
509,Rangapara,IN,85.23,broken clouds,26.8167,92.65,Bidhan
510,Auki,SB,76.15,overcast clouds,-8.7676,160.7034,Auki Motel
512,Malakal,SS,81.27,broken clouds,9.5334,31.6605,Nile Palace Hotel
515,Dwarka,IN,83.89,light rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
516,Shenjiamen,CN,79.11,moderate rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
517,Avanigadda,IN,86.16,overcast clouds,16.0215,80.9181,AP Camping
518,Gulariya,NP,88.18,few clouds,28.2333,81.3333,PUJA TRADING
527,Chlorakas,CY,87.55,clear sky,34.8042,32.4083,Elysium Hotel
536,Enshi,CN,78.71,overcast clouds,30.3,109.4833,Moevenpick Enshi
544,Horsham,GB,87.89,clear sky,51.064,-0.3272,Springfields Hotel
546,Moncao,PT,81.5,overcast clouds,42.0789,-8.4808,Hotel Bienestar Termas de Monção
547,Den Chai,TH,76.69,scattered clouds,17.9837,100.0522,Ruean Saen Hotel
552,Ninh Binh,VN,83.03,overcast clouds,20.2539,105.975,Kinh Do Hotel
555,Santa Rosa,PH,77.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
561,San Patricio,US,89.91,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
565,Nagua,DO,88.11,scattered clouds,19.3832,-69.8474,Hotel Cambri
567,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
570,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
571,Ewa Beach,US,77.99,scattered clouds,21.3156,-158.0072,Base Lodging
572,Macheng,CN,79.92,overcast clouds,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
573,Impfondo,CG,82.51,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
574,Big Spring,US,88.23,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
575,Wiang Sa,TH,76.28,overcast clouds,8.6359,99.3666,ชำนาญอินน์
581,San Miguel,SV,86.74,overcast clouds,13.4833,-88.1833,Excalibur
584,Eregli,TR,82.53,clear sky,37.5133,34.0467,Hotel Fuat Bey
585,Machilipatnam,IN,85.23,overcast clouds,16.1667,81.1333,R&B Bungalow
